2024-09-15 13:50:06.106 [main] INFO  c.a.s.SpringBootLoggingApplication - Initializing Spring Boot Application
2024-09-15 13:50:06.993 [main] INFO  c.a.s.SpringBootLoggingApplication - Starting SpringBootLoggingApplication using Java 17.0.11 with PID 4652 (D:\DEV\tutorials\spring boot\spring-boot-all\spring-boot-logging\target\classes started by Admin in D:\DEV\tutorials\spring boot\spring-boot-all\spring-boot-logging)
2024-09-15 13:50:06.995 [main] INFO  c.a.s.SpringBootLoggingApplication - No active profile set, falling back to 1 default profile: "default"
2024-09-15 13:50:08.436 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-09-15 13:50:08.474 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-09-15 13:50:08.478 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-09-15 13:50:08.478 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-15 13:50:08.542 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-09-15 13:50:08.543 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1475 ms
2024-09-15 13:50:08.993 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-09-15 13:50:09.019 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-09-15 13:50:09.030 [main] INFO  c.a.s.SpringBootLoggingApplication - Started SpringBootLoggingApplication in 2.765 seconds (process running for 4.03)
2024-09-15 13:50:19.683 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-15 13:50:19.683 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-09-15 13:50:19.684 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
